ID,Pop,SubPop,Time
3145-1,H,hybrid,0
3145-2,H,hybrid,0
3145-3,H,hybrid,0
3152-1,H,hybrid,0
3152-2,H,hybrid,0
3152-3,H,hybrid,0
3154-1,H,hybrid,0
3154-2,H,hybrid,0
3154-3,H,hybrid,0
3155-1,H,hybrid,0
3155-2,H,hybrid,0
3155-3,H,hybrid,0
3156-1r,H,hybrid,0
3156-2,H,hybrid,0
3156-3,H,hybrid,0
3160-1,H,hybrid,0
3160-3,H,hybrid,0
3162-1,H,hybrid,0
3162-2,H,hybrid,0
3162-3,H,hybrid,0
3163-2,H,hybrid,0
3163-3,H,hybrid,0
3164-2,H,hybrid,0
3164-3,H,hybrid,0
3165-1r,H,hybrid,0
3165-2,H,hybrid,0
3165-3,H,hybrid,0
3169-1,H,hybrid,0
3169-2,H,hybrid,0
3169-3,H,hybrid,0
3169-4,H,hybrid,0
3172-2,H,hybrid,0
3172-3r,H,hybrid,0
3173-1r,H,hybrid,0
3173-2,H,hybrid,0
3173-3,H,hybrid,0
3175-1,H,hybrid,0
3175-3,H,hybrid,0
3498-2,H,hybrid,0
3498-3,H,hybrid,0
3504-1r,H,hybrid,0
3504-2,H,hybrid,0
3504-3,H,hybrid,0
3505-1r,H,hybrid,0
3507-1,H,hybrid,0
3507-2,H,hybrid,0
3507-3,H,hybrid,0
3508-1,H,hybrid,0
3508-2,H,hybrid,0
3508-3,H,hybrid,0
3510-1,H,hybrid,0
3510-2,H,hybrid,0
3510-3,H,hybrid,0
3516-1r,H,hybrid,0
3516-2,H,hybrid,0
3516-3r,H,hybrid,0
3517-1r,H,hybrid,0
3517-2,H,hybrid,0
3517-3,H,hybrid,0
3518-1,H,hybrid,0
3518-2,H,hybrid,0
3518-3,H,hybrid,0
3519-1,H,hybrid,0
3519-2r,H,hybrid,0
3519-3,H,hybrid,0
3520-1,H,hybrid,0
3520-2,H,hybrid,0
3520-3,H,hybrid,0
3521-1,H,hybrid,0
3521-2,H,hybrid,0
3521-3,H,hybrid,0
3521-4,H,hybrid,0
3522-1,H,hybrid,0
3522-2,H,hybrid,0
3522-3r,H,hybrid,0
3523-1,H,hybrid,0
3523-2,H,hybrid,0
3523-3r,H,hybrid,0
3525-1,H,hybrid,0
3525-2,H,hybrid,0
3525-3r,H,hybrid,0
3774-1r,H,hybrid,0
3774-2r,H,hybrid,0
3774-3r,H,hybrid,0
3780-1,H,hybrid,0
3780-2,H,hybrid,0
3780-3,H,hybrid,0
3800-1,H,hybrid,0
3800-2,H,hybrid,0
3800-3,H,hybrid,0
3803-1r,H,hybrid,0
3803-2r,H,hybrid,0
3803-3,H,hybrid,0
3822-1r,H,hybrid,0
3822-2,H,hybrid,0
3822-3,H,hybrid,0
3824-1,H,hybrid,0
3824-2,H,hybrid,0
3824-3,H,hybrid,0
3828-1,H,hybrid,0
3828-2,H,hybrid,0
3828-3,H,hybrid,0
3841-1,H,hybrid,0
3841-2,H,hybrid,0
3841-3r,H,hybrid,0
3858-1r,H,hybrid,0
3858-3,H,hybrid,0
3862-1,H,hybrid,0
3862-2,H,hybrid,0
3862-3,H,hybrid,0
3862-4,H,hybrid,0
3867-1,H,hybrid,0
3867-2r,H,hybrid,0
3867-3,H,hybrid,0
3870-1,H,hybrid,0
3870-2,H,hybrid,0
3870-3,H,hybrid,0
BUC01,H,hybrid,0
BUC02,H,hybrid,0
BUC03,H,hybrid,0
BUC04,H,hybrid,0
BUC05,H,hybrid,0
BUC06,H,hybrid,0
BUC07,H,hybrid,0
BUC08,H,hybrid,0
BUC09,H,hybrid,0
BUC10,H,hybrid,0
BUC11,H,hybrid,0
CAR01,C,carnica,0
CAR02,C,carnica,0
CAR03,C,carnica,0
CAR04,C,carnica,0
CAR05,C,carnica,0
CAR06,C,carnica,0
CAR07,C,carnica,0
CAR08,C,carnica,0
CAR09,C,carnica,0
CAR10,C,carnica,0
CAR11,C,carnica,0
CAR12,C,carnica,0
CAR13,C,carnica,0
CAR14,C,carnica,0
CAR15,C,carnica,0
CAR16,C,carnica,0
CAR17,C,carnica,0
CAR18,C,carnica,0
CAR19,C,carnica,0
CAR20,C,carnica,0
CAR21,C,carnica,0
CAR22,C,carnica,0
CAR23,C,carnica,0
CAR25,C,carnica,0
CAR26,C,carnica,0
CAR28,C,carnica,0
CAR29,C,carnica,0
CAR30,C,carnica,0
CAR31,C,carnica,0
CAR33,C,carnica,0
CAR34,C,carnica,0
CDI01,M,mellifera,0
CDI02,M,mellifera,0
CDI03,M,mellifera,0
CDI04,M,mellifera,0
CDI05,M,mellifera,0
CDI06,M,mellifera,0
CGL01,M,mellifera,0
CGL02,M,mellifera,0
CGL03,M,mellifera,0
CGL04,M,mellifera,0
CGL05,M,mellifera,0
CGL06,M,mellifera,0
CGL07,M,mellifera,0
CGL08,M,mellifera,0
CGL09,M,mellifera,0
CGL10,M,mellifera,0
CGL11,M,mellifera,0
CGL12,M,mellifera,0
CGL13,M,mellifera,0
CGL14,M,mellifera,0
CGL16,M,mellifera,0
CGL17,M,mellifera,0
CME01,M,mellifera,0
CME02,M,mellifera,0
CME03,M,mellifera,0
CME04,M,mellifera,0
CME05,M,mellifera,0
CME06,M,mellifera,0
CSA01,H,hybrid,0
CSA02,H,hybrid,0
CSA03,H,hybrid,0
CSA04,H,hybrid,0
CSA05,H,hybrid,0
CSA06,H,hybrid,0
CSA07,H,hybrid,0
CSA08,H,hybrid,0
CSA09,H,hybrid,0
CSA10,H,hybrid,0
CSA11,H,hybrid,0
CSA12,H,hybrid,0
CSA13,H,hybrid,0
CSA14,H,hybrid,0
CSA15,H,hybrid,0
